NC_089035.1	ag1
NC_089036.1	ag2
NC_089037.1	ag3
NC_089038.1	ag4
NC_089039.1	ag5
NC_089040.1	ag6
NC_089041.1	ag7
NC_089042.1	ag8
NC_089043.1	ag9
NC_089044.1	ag10
NC_089045.1	ag11
NC_089046.1	ag12
NC_029256.1	ir1
NC_029257.1	ir2
NC_029258.1	ir3
NC_029259.1	ir4
NC_029260.1	ir5
NC_029261.1	ir6
NC_029262.1	ir7
NC_029263.1	ir8
NC_029264.1	ir9
NC_029265.1	ir10
NC_029266.1	ir11
NC_029267.1	ir12
